,titulo,anio,duracion,posicion,rating
131,Batman Begins,2005,140,132,8.2
132,Per qualche dollaro in più,1965,132,133,8.2
133,The Truman Show,1998,103,134,8.2
134,Judgment at Nuremberg,1961,179,135,8.3
135,Some Like It Hot,1959,121,136,8.2
136,Shutter Island,2010,138,137,8.2
137,The Kid,1921,68,138,8.2
138,The Father,2020,97,139,8.2
139,All About Eve,1950,138,140,8.2
140,Jurassic Park,1993,127,141,8.2
141,There Will Be Blood,2007,158,142,8.2
142,The Sixth Sense,1999,107,143,8.2
143,Casino,1995,178,144,8.2
144,Ran,1985,160,145,8.2
145,Top Gun: Maverick,2022,130,146,8.2
146,No Country for Old Men,2007,122,147,8.2
147,The Thing,1982,109,148,8.2
148,El laberinto del fauno,2006,118,149,8.2
149,Unforgiven,1992,130,150,8.2
150,A Beautiful Mind,2001,135,151,8.2
151,Kill Bill: Vol. 1,2003,111,152,8.2
152,The Treasure of the Sierra Madre,1948,126,153,8.2
153,Prisoners,2013,153,154,8.2
154,Yôjinbô,1961,110,155,8.2
155,Finding Nemo,2003,100,156,8.2
156,Hauru no ugoku shiro,2004,119,157,8.2
157,The Great Escape,1963,172,158,8.2
158,Monty Python and the Holy Grail,1975,91,159,8.2
159,The Elephant Man,1980,124,160,8.2
160,Dial M for Murder,1954,105,161,8.2
161,Klaus,2019,96,162,8.2
162,Gone with the Wind,1939,238,163,8.2
163,Rashômon,1950,88,164,8.2
164,Chinatown,1974,130,165,8.1
165,El secreto de sus ojos,2009,129,166,8.2
166,"Lock, Stock and Two Smoking Barrels",1998,107,167,8.1
167,V for Vendetta,2005,132,168,8.1
168,Inside Out,2015,95,169,8.1
169,"Three Billboards Outside Ebbing, Missouri",2017,115,170,8.1
170,The Bridge on the River Kwai,1957,161,171,8.1
171,Trainspotting,1996,93,172,8.1
172,Catch Me If You Can,2002,141,173,8.1
173,Raging Bull,1980,129,174,8.1
174,The Wild Robot,2024,102,175,8.2
175,Fargo,1996,98,176,8.1
176,Warrior,2011,140,177,8.1
177,Harry Potter and the Deathly Hallows - Part 2,2011,130,178,8.1
178,Gran Torino,2008,116,179,8.1
179,Million Dollar Baby,2004,132,180,8.1
180,Ben-Hur,1959,212,181,8.1
181,Mad Max: Fury Road,2015,120,182,8.1
182,Tonari no Totoro,1988,86,183,8.1
183,Barry Lyndon,1975,185,184,8.1
184,Spider-Man: No Way Home,2021,148,185,8.2
185,Dead Poets Society,1989,128,186,8.1
186,Bacheha-ye aseman,1997,89,187,8.2
187,12 Years a Slave,2013,134,188,8.1
188,Before Sunrise,1995,101,189,8.1
189,The Grand Budapest Hotel,2014,99,190,8.1
190,Hacksaw Ridge,2016,139,191,8.1
191,Blade Runner,1982,117,192,8.1
192,Gone Girl,2014,149,193,8.1
193,Salinui chueok,2003,131,194,8.1
194,Ratatouille,2007,111,195,8.1
195,"Monsters, Inc.",2001,92,196,8.1
196,In the Name of the Father,1993,133,197,8.1
197,How to Train Your Dragon,2010,98,198,8.1
198,Relatos salvajes,2014,122,199,8.1
199,The Gold Rush,1925,95,200,8.1
200,Sherlock Jr.,1924,45,201,8.2
201,Jaws,1975,124,202,8.1
202,Mary and Max.,2009,92,203,8.1
203,The Deer Hunter,1978,183,204,8.1
204,Ford v Ferrari,2019,152,205,8.1
205,The General,1926,78,206,8.1
206,Le salaire de la peur,1953,156,207,8.1
207,Mr. Smith Goes to Washington,1939,129,208,8.1
208,On the Waterfront,1954,108,209,8.1
209,Smultronstället,1957,92,210,8.1
210,Logan,2017,137,211,8.1
211,Rocky,1976,120,212,8.1
212,The Third Man,1949,104,213,8.1
213,Tôkyô monogatari,1953,137,214,8.1
214,Spotlight,2015,129,215,8.1
215,The Big Lebowski,1998,117,216,8.1
216,Maharaja,2024,141,217,8.4
217,The Terminator,1984,107,218,8.1
218,Det sjunde inseglet,1957,96,219,8.1
219,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,220,8.1
220,Room,2015,118,221,8.1
221,Ainda Estou Aqui,2024,137,222,8.3
222,La haine,1995,98,223,8.1
223,Jai Bhim,2021,164,224,8.6
224,Hotel Rwanda,2004,121,225,8.1
225,Platoon,1986,120,226,8.1
226,The Best Years of Our Lives,1946,170,227,8.1
227,Before Sunset,2004,80,228,8.1
228,The Exorcist,1973,122,229,8.1
229,The Sound of Music,1965,172,230,8.1
230,La passion de Jeanne d'Arc,1928,110,231,8.1
231,The Wizard of Oz,1939,102,232,8.1
232,The Incredibles,2004,115,233,8.0
233,Hachi: A Dog's Tale,2009,93,234,8.1
234,Rush,2013,123,235,8.1
235,Stand by Me,1986,89,236,8.1
236,Babam ve Oglum,2005,112,237,8.2
237,Network,1976,121,238,8.1
238,The Iron Giant,1999,86,239,8.1
239,Ah-ga-ssi,2016,145,240,8.1
240,Koe no katachi,2016,130,241,8.1
